method,start0,start1,iter,x,f_x,dx
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
newton_numeric,0.5,nan,4,-2.85036908729023e-05,-3.42052415155955e-05,0.00583709558032517
newton_numeric,0.5,nan,5,-6.77031037776035e-10,-8.12437245789613e-10,2.85030138418645e-05
newton_numeric,0.5,nan,6,-3.82163957046823e-19,-4.58596748456187e-19,6.77031037393871e-10
newton_numeric,0.5,nan,7,-1.06166888184346e-31,-1.27400265821216e-31,3.82163957046716e-19
newton_numeric,0.5,nan,1,-0.385144298618915,-0.629232156263228,0.885144298618915
newton_numeric,0.5,nan,2,-0.0875444490256236,-0.112940840694658,0.297599849593291
newton_numeric,0.5,nan,3,-0.00586559927119808,-0.00707319164916193,0.0816788497544255
