method,start0,start1,iter,x,f_x,dx
secant,-9.4,-9.2,1,-9.43161657243149,83.4361802717265,0.231616572431484
secant,-9.2,-9.43161657243149,2,-9.4231822102992,-21.6270767077574,0.00843436213228799
secant,-9.43161657243149,-9.4231822102992,3,-9.4249184081105,-0.144365252581401,0.00173619781130085
secant,-9.4231822102992,-9.4249184081105,4,-9.42493007547549,0.000252592872635127,1.16673649923626e-05
secant,-9.4249184081105,-9.42493007547549,5,-9.424930055097,-2.94832736003059e-09,2.03784900065784e-08
secant,-9.42493007547549,-9.424930055097,6,-9.42493005509724,2.12874162741628e-12,2.38031816479634e-13
secant,-9.424930055097,-9.42493005509724,7,-9.42493005509724,2.12874162741628e-12,0
secant,-9.4,-9.2,1,-9.43161657243149,83.4361802717265,0.231616572431484
secant,-9.2,-9.43161657243149,2,-9.4231822102992,-21.6270767077574,0.00843436213228799
secant,-9.43161657243149,-9.4231822102992,3,-9.4249184081105,-0.144365252581401,0.00173619781130085
secant,-9.4231822102992,-9.4249184081105,4,-9.42493007547549,0.000252592872635127,1.16673649923626e-05
secant,-9.4249184081105,-9.42493007547549,5,-9.424930055097,-2.94832736003059e-09,2.03784900065784e-08
secant,-9.42493007547549,-9.424930055097,6,-9.42493005509724,2.12874162741628e-12,2.38031816479634e-13
secant,-9.424930055097,-9.42493005509724,7,-9.42493005509724,2.12874162741628e-12,0
secant,-9.4,-9.2,1,-9.43161657243149,83.4361802717265,0.231616572431484
secant,-9.2,-9.43161657243149,2,-9.4231822102992,-21.6270767077574,0.00843436213228799
secant,-9.43161657243149,-9.4231822102992,3,-9.4249184081105,-0.144365252581401,0.00173619781130085
secant,-9.4231822102992,-9.4249184081105,4,-9.42493007547549,0.000252592872635127,1.16673649923626e-05
secant,-9.4249184081105,-9.42493007547549,5,-9.424930055097,-2.94832736003059e-09,2.03784900065784e-08
secant,-9.42493007547549,-9.424930055097,6,-9.42493005509724,2.12874162741628e-12,2.38031816479634e-13
secant,-9.424930055097,-9.42493005509724,7,-9.42493005509724,2.12874162741628e-12,0
