method,start0,start1,iter,x,f_x,dx
secant,0.4,0.6,1,0.300195563363177,0.0255151919847909,0.299804436636823
secant,0.6,0.300195563363177,2,0.248545494934452,0.0147453740448512,0.0516500684287252
secant,0.300195563363177,0.248545494934452,3,0.17782938973463,0.00550733021247765,0.0707161051998225
secant,0.248545494934452,0.17782938973463,4,0.135671444855549,0.00246697958169031,0.0421579448790801
secant,0.17782938973463,0.135671444855549,5,0.101463946493499,0.0010374420277902,0.0342074983620502
secant,0.135671444855549,0.101463946493499,6,0.0766389278225766,0.000448384641591779,0.0248250186709227
secant,0.101463946493499,0.0766389278225766,7,0.0577423697620664,0.000192096496003365,0.0188965580605103
secant,0.0766389278225766,0.0577423697620664,8,0.0435787704991582,8.26561910688422e-05,0.0141635992629082
secant,0.0577423697620664,0.0435787704991582,9,0.0328815308706879,3.55257415032989e-05,0.0106972396284703
secant,0.0435787704991582,0.0328815308706879,10,0.0248182220471345,1.52803638936726e-05,0.00806330882355333
secant,0.0328815308706879,0.0248182220471345,11,0.018732373939645,6.57168699920774e-06,0.00608584810748955
secant,0.0248182220471345,0.018732373939645,12,0.0141399095076987,2.82671488649146e-06,0.00459246443194628
secant,0.018732373939645,0.0141399095076987,13,0.0106735051701643,1.21587299081055e-06,0.0034664043375344
secant,0.0141399095076987,0.0106735051701643,14,0.00805704267279733,5.23007837177488e-07,0.00261646249736698
secant,0.0106735051701643,0.00805704267279733,15,0.0060820113342627,2.24973293181033e-07,0.00197503133853463
secant,0.00805704267279733,0.0060820113342627,16,0.0045911462204148,9.67736832468848e-08,0.0014908651138479
secant,0.0060820113342627,0.0045911462204148,17,0.00346574101547341,4.16279323903358e-08,0.00112540520494139
secant,0.0045911462204148,0.00346574101547341,18,0.00261620517535222,1.79066118437918e-08,0.000849535840121194
secant,0.00346574101547341,0.00261620517535222,19,0.00197491252443966,7.70269076378089e-09,0.000641292650912559
secant,0.00261620517535222,0.00197491252443966,20,0.00149081636764545,3.31338432349827e-09,0.000484096156794213
secant,0.00197491252443966,0.00149081636764545,21,0.00112538355068213,1.42528371214539e-09,0.000365432816963317
secant,0.00149081636764545,0.00112538355068213,22,0.00084952672463724,6.13099451763451e-10,0.000275856826044891
secant,0.00112538355068213,0.00084952672463724,23,0.000641288671939944,2.63730638360718e-10,0.000208238052697295
secant,0.00084952672463724,0.000641288671939944,24,0.000484094462090586,1.13446284220486e-10,0.000157194209849359
secant,0.000641288671939944,0.000484094462090586,25,0.000365432082959989,4.88000179185352e-11,0.000118662379130596
secant,0.000484094462090586,0.000365432082959989,26,0.000275856511792712,2.09918008992142e-11,8.95755711672768e-05
secant,0.000365432082959989,0.000275856511792712,27,0.00020823791711365,9.02982679747174e-12,6.7618594679062e-05
secant,0.000275856511792712,0.00020823791711365,28,0.000157194151841542,3.88426764469106e-12,5.10437652721079e-05
secant,0.00020823791711365,0.000157194151841542,29,0.000118662353834224,1.67085541174666e-12,3.85317980073185e-05
secant,0.000157194151841542,0.000118662353834224,30,8.95755609329239e-05,7.18734697502426e-13,2.90867929012998e-05
secant,0.4,0.6,1,0.300195563363177,0.0255151919847909,0.299804436636823
secant,0.6,0.300195563363177,2,0.248545494934452,0.0147453740448512,0.0516500684287252
secant,0.300195563363177,0.248545494934452,3,0.17782938973463,0.00550733021247765,0.0707161051998225
