function,method,start0,start1,root,f_root,iters,converged
f,newton_analytic,0.5,nan,0,0,7,1
f,newton_analytic,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_analytic,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_analytic,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,newton_numeric,0.5,nan,-1.06166888184346e-31,-1.27400265821216e-31,7,1
f,newton_numeric,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_numeric,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_numeric,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,secant,3.58292e-06,-1.32283e-09,3.94967170526814e-15,4.73960604632176e-15,8,1
f,secant,-3.16826,-3.16826,-3.16825786774928,-5.99520433297585e-15,6,1
f,secant,-6.28083,-6.28083,-6.2808339631475,2.33146835171283e-13,6,1
f,secant,-9.42493,-9.42493,-9.42493005509724,2.12874162741628e-12,7,0
f,newton_analytic,-0.9,nan,-0.879700562634808,0,4,1
f,newton_analytic,0.9,nan,0.879700562634808,0,4,1
f,secant,-0.879672,-0.879701,-0.879700562635469,6.37739860920306e-13,5,1
f,secant,0.879715,0.879701,0.879700562634711,-9.35640454002851e-14,5,1
f,newton_analytic,0.5,nan,5.78831714058043e-09,0,45,1
f,newton_analytic,3,nan,3.14159265358979,2.92197089911609e-16,5,1
f,newton_analytic,6,nan,6.28318530717959,-9.0642696573781e-16,5,1
f,secant,0.000157194,0.000118662,8.95755609329239e-05,7.18734697502426e-13,30,1
f,secant,3.14156,3.14159,3.14159265359001,-5.19963384037773e-13,4,1
f,secant,6.28318,6.28319,6.28318530717959,-9.0642696573781e-16,5,1
f,newton_analytic,0.5,nan,0,0,7,1
f,newton_analytic,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_analytic,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_analytic,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,newton_numeric,0.5,nan,-1.06166888184346e-31,-1.27400265821216e-31,7,1
f,newton_numeric,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_numeric,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_numeric,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,secant,3.58292e-06,-1.32283e-09,3.94967170526814e-15,4.73960604632176e-15,8,1
f,secant,-3.16826,-3.16826,-3.16825786774928,-5.99520433297585e-15,6,1
f,secant,-6.28083,-6.28083,-6.2808339631475,2.33146835171283e-13,6,1
f,secant,-9.42493,-9.42493,-9.42493005509724,2.12874162741628e-12,7,0
f,newton_analytic,-0.9,nan,-0.879700562634808,0,4,1
f,newton_analytic,0.9,nan,0.879700562634808,0,4,1
f,secant,-0.879672,-0.879701,-0.879700562635469,6.37739860920306e-13,5,1
f,secant,0.879715,0.879701,0.879700562634711,-9.35640454002851e-14,5,1
f,newton_analytic,0.5,nan,5.78831714058043e-09,0,45,1
f,newton_analytic,3,nan,3.14159265358979,2.92197089911609e-16,5,1
f,newton_analytic,6,nan,6.28318530717959,-9.0642696573781e-16,5,1
f,secant,0.000157194,0.000118662,8.95755609329239e-05,7.18734697502426e-13,30,1
f,secant,3.14156,3.14159,3.14159265359001,-5.19963384037773e-13,4,1
f,secant,6.28318,6.28319,6.28318530717959,-9.0642696573781e-16,5,1
f,newton_analytic,0.5,nan,0,0,7,1
f,newton_analytic,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_analytic,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_analytic,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,newton_numeric,0.5,nan,-1.06166888184346e-31,-1.27400265821216e-31,7,1
f,newton_numeric,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_numeric,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_numeric,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,secant,3.58292e-06,-1.32283e-09,3.94967170526814e-15,4.73960604632176e-15,8,1
f,secant,-3.16826,-3.16826,-3.16825786774928,-5.99520433297585e-15,6,1
f,secant,-6.28083,-6.28083,-6.2808339631475,2.33146835171283e-13,6,1
f,secant,-9.42493,-9.42493,-9.42493005509724,2.12874162741628e-12,7,0
f,newton_analytic,-0.9,nan,-0.879700562634808,0,4,1
f,newton_analytic,0.9,nan,0.879700562634808,0,4,1
f,secant,-0.879672,-0.879701,-0.879700562635469,6.37739860920306e-13,5,1
f,secant,0.879715,0.879701,0.879700562634711,-9.35640454002851e-14,5,1
f,newton_analytic,0.5,nan,5.78831714058043e-09,0,45,1
f,newton_analytic,3,nan,3.14159265358979,2.92197089911609e-16,5,1
f,newton_analytic,6,nan,6.28318530717959,-9.0642696573781e-16,5,1
f,secant,0.000157194,0.000118662,8.95755609329239e-05,7.18734697502426e-13,30,1
f,secant,3.14156,3.14159,3.14159265359001,-5.19963384037773e-13,4,1
f,secant,6.28318,6.28319,6.28318530717959,-9.0642696573781e-16,5,1
f,newton_analytic,0.5,nan,0,0,7,1
f,newton_analytic,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_analytic,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_analytic,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,newton_numeric,0.5,nan,-1.06166888184346e-31,-1.27400265821216e-31,7,1
f,newton_numeric,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_numeric,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_numeric,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,secant,3.58292e-06,-1.32283e-09,3.94967170526814e-15,4.73960604632176e-15,8,1
f,secant,-3.16826,-3.16826,-3.16825786774928,-5.99520433297585e-15,6,1
f,secant,-6.28083,-6.28083,-6.2808339631475,2.33146835171283e-13,6,1
f,secant,-9.42493,-9.42493,-9.42493005509724,2.12874162741628e-12,7,0
f,newton_analytic,-0.9,nan,-0.879700562634808,0,4,1
f,newton_analytic,0.9,nan,0.879700562634808,0,4,1
f,secant,-0.879672,-0.879701,-0.879700562635469,6.37739860920306e-13,5,1
f,secant,0.879715,0.879701,0.879700562634711,-9.35640454002851e-14,5,1
f,newton_analytic,0.5,nan,5.78831714058043e-09,0,45,1
f,newton_analytic,3,nan,3.14159265358979,2.92197089911609e-16,5,1
f,newton_analytic,6,nan,6.28318530717959,-9.0642696573781e-16,5,1
f,secant,0.000157194,0.000118662,8.95755609329239e-05,7.18734697502426e-13,30,1
f,secant,3.14156,3.14159,3.14159265359001,-5.19963384037773e-13,4,1
f,secant,6.28318,6.28319,6.28318530717959,-9.0642696573781e-16,5,1
f,newton_analytic,0.5,nan,0,0,7,1
f,newton_analytic,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_analytic,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_analytic,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,newton_numeric,0.5,nan,-1.06166888184346e-31,-1.27400265821216e-31,7,1
f,newton_numeric,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_numeric,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_numeric,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,secant,3.58292e-06,-1.32283e-09,3.94967170526814e-15,4.73960604632176e-15,8,1
f,secant,-3.16826,-3.16826,-3.16825786774928,-5.99520433297585e-15,6,1
f,secant,-6.28083,-6.28083,-6.2808339631475,2.33146835171283e-13,6,1
f,secant,-9.42493,-9.42493,-9.42493005509724,2.12874162741628e-12,7,0
f,newton_analytic,-0.9,nan,-0.879700562634808,0,4,1
f,newton_analytic,0.9,nan,0.879700562634808,0,4,1
f,secant,-0.879672,-0.879701,-0.879700562635469,6.37739860920306e-13,5,1
f,secant,0.879715,0.879701,0.879700562634711,-9.35640454002851e-14,5,1
f,newton_analytic,0.5,nan,5.78831714058043e-09,0,45,1
f,newton_analytic,3,nan,3.14159265358979,2.92197089911609e-16,5,1
f,newton_analytic,6,nan,6.28318530717959,-9.0642696573781e-16,5,1
f,secant,0.000157194,0.000118662,8.95755609329239e-05,7.18734697502426e-13,30,1
f,secant,3.14156,3.14159,3.14159265359001,-5.19963384037773e-13,4,1
f,secant,6.28318,6.28319,6.28318530717959,-9.0642696573781e-16,5,1
f,newton_analytic,0.5,nan,0,0,7,1
f,newton_analytic,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_analytic,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_analytic,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,newton_numeric,0.5,nan,-1.06166888184346e-31,-1.27400265821216e-31,7,1
f,newton_numeric,-3,nan,-3.16825786774928,4.88498130835069e-15,6,1
f,newton_numeric,-6.2,nan,-6.2808339631475,2.33146835171283e-13,5,1
f,newton_numeric,-9.3,nan,-9.42493005509724,2.12874162741628e-12,5,1
f,secant,3.58292e-06,-1.32283e-09,3.94967170526814e-15,4.73960604632176e-15,8,1
f,secant,-3.16826,-3.16826,-3.16825786774928,-5.99520433297585e-15,6,1
f,secant,-6.28083,-6.28083,-6.2808339631475,2.33146835171283e-13,6,1
f,secant,-9.42493,-9.42493,-9.42493005509724,2.12874162741628e-12,7,0
f,newton_analytic,-0.9,nan,-0.879700562634808,0,4,1
f,newton_analytic,0.9,nan,0.879700562634808,0,4,1
f,secant,-0.879672,-0.879701,-0.879700562635469,6.37739860920306e-13,5,1
f,secant,0.879715,0.879701,0.879700562634711,-9.35640454002851e-14,5,1
f,newton_analytic,0.5,nan,5.78831714058043e-09,0,45,1
f,newton_analytic,3,nan,3.14159265358979,2.92197089911609e-16,5,1
f,newton_analytic,6,nan,6.28318530717959,-9.0642696573781e-16,5,1
f,secant,0.000157194,0.000118662,8.95755609329239e-05,7.18734697502426e-13,30,1
f,secant,3.14156,3.14159,3.14159265359001,-5.19963384037773e-13,4,1
f,secant,6.28318,6.28319,6.28318530717959,-9.0642696573781e-16,5,1
f,newton_analytic,1,nan,1.41421356237309,-4.44089209850063e-16,6,1
f,newton_numeric,1,nan,1.41421356237309,-4.44089209850063e-16,6,1
f,newton_numeric,0,nan,0,0,1,1
f,secant,1.41421,1.41421,1.4142135623731,8.88178419700125e-16,6,1
f,secant,0,1,1,1,0,0
f,newton_numeric,1,nan,1.41421356237309,-4.44089209850063e-16,6,1
f,newton_numeric,0,nan,0,0,1,1
f,secant,1.41421,1.41421,1.4142135623731,8.88178419700125e-16,6,1
f,secant,0,1,1,1,0,0
