function,method,start0,start1,root,f_root,iters,converged
f,newton_analytic,1,nan,1.41421356237309,-4.44089209850063e-16,6,1
f,newton_numeric,1,nan,1.41421356237309,-4.44089209850063e-16,6,1
f,newton_numeric,0,nan,0,0,1,1
f,secant,1.41421,1.41421,1.4142135623731,8.88178419700125e-16,6,1
f,secant,0,1,1,1,0,0
f,newton_numeric,1,nan,1.41421356237309,-4.44089209850063e-16,6,1
f,newton_numeric,0,nan,0,0,1,1
f,secant,1.41421,1.41421,1.4142135623731,8.88178419700125e-16,6,1
f,secant,0,1,1,1,0,0
f,newton_analytic,1,nan,1.41421356237309,-4.44089209850063e-16,6,1
f,newton_numeric,1,nan,1.41421356237309,-4.44089209850063e-16,6,1
f,secant,1.41421,1.41421,1.4142135623731,8.88178419700125e-16,6,1
